iteration,instance_start0,instance_started0,delta0
1,1662942972.2119999,1662943493.9519999,521.740
2,1662953003.622,1662953526.2820001,522.66000009
3,1662941135.9300001,1662941668.257,532.32699990
4,1662959394.7980001,1662959923.668,528.86999989
5,1662955726.8099999,1662956251.6159999,524.8060
6,1662942051.8310001,1662942585.1789999,533.34799981
7,1662962199.7249999,1662962730.645,530.92000008
8,1662969258.05,1662969987.398,729.3480
9,1662961280.1140001,1662961808.3050001,528.1910
10,1662954821.934,1662955341.4230001,519.48900008
11,1662968092.0669999,1662968875.924,783.85700011
12,1662946615.7739999,1662947140.5810001,524.80700016
13,1662944786.9200001,1662945318.2880001,531.3680
14,1662937783.1240001,1662938319.352,536.22799993
15,1662948450.579,1662948979.4360001,528.85700011
16,1662963130.608,1662963672.8870001,542.2790
17,1662956641.5439999,1662957161.4189999,519.8750
18,1662943876.543,1662944399.6070001,523.06400013
19,1662958470.2049999,1662958998.7449999,528.540
20,1662945706.3659999,1662946225.3139999,518.9480
21,1662965960.8499999,1662966511.112,550.26200008
22,1662952103.944,1662952621,517.0560
23,1662949370.3310001,1662949896.6989999,526.36799979
24,1662947525.5899999,1662948060.6210001,535.03100014
25,1662964075.631,1662964628.622,552.99099994
26,1662960309.6800001,1662960890.773,581.09299994
27,1662950284.9579999,1662950810.234,525.2760
28,1662951199.609,1662951721.849,522.240
29,1662953907.7049999,1662954437.954,530.24900007
30,1662957550.7460001,1662958079.727,528.98099995


,,,545.96896667480473
,,,10.782503307752243
